,Year,Country,Losses,ISO,Alpha_2,Continent,Zone
1323,1977,Sweden,760042.0,SWE,SE,EU,Polar
1324,1977,Sweden,49179.0,SWE,SE,EU,Polar
2718,1985,Sweden,14611.0,SWE,SE,EU,Polar
3209,1990,Finland,10369.0,FIN,FI,EU,Polar
3210,1990,Finland,10369.0,FIN,FI,EU,Polar
3287,1990,Norway,20739.0,NOR,NO,EU,Polar
3288,1990,Norway,248866.0,NOR,NO,EU,Polar
3449,1992,Russian Federation (the),92887.0,RUS,RU,EU,Polar
3450,1992,Russian Federation (the),5021.0,RUS,RU,EU,Polar
3457,1993,Russian Federation (the),63776.0,RUS,RU,EU,Polar
3528,1993,Norway,5627.0,NOR,NO,EU,Polar
3580,1994,Russian Federation (the),10603.0,RUS,RU,EU,Polar
3635,1990,Sweden,10369.0,SWE,SE,EU,Polar
3636,1990,Sweden,10369.0,SWE,SE,EU,Polar
4219,1995,Iceland,4319.0,ISL,IS,EU,Polar
4220,1995,Iceland,5975.0,ISL,IS,EU,Polar
4251,1995,Norway,533463.0,NOR,NO,EU,Polar
4552,1994,Russian Federation (the),34734.0,RUS,RU,EU,Polar
4559,1994,Russian Federation (the),478961.0,RUS,RU,EU,Polar
4561,1994,Russian Federation (the),109686.0,RUS,RU,EU,Polar
4615,1995,Russian Federation (the),78241.0,RUS,RU,EU,Polar
4664,1996,Russian Federation (the),241860.0,RUS,RU,EU,Polar
4665,1996,Russian Federation (the),273647.0,RUS,RU,EU,Polar
4730,1997,Russian Federation (the),293900.0,RUS,RU,EU,Polar
4813,1998,Russian Federation (the),5818.0,RUS,RU,EU,Polar
4815,1998,Russian Federation (the),448823.0,RUS,RU,EU,Polar
4817,1998,Russian Federation (the),265969.0,RUS,RU,EU,Polar
5360,1998,Russian Federation (the),21610.0,RUS,RU,EU,Polar
5434,1999,Russian Federation (the),184365.0,RUS,RU,EU,Polar
5447,1999,Sweden,260274.0,SWE,SE,EU,Polar
5523,2000,Russian Federation (the),11015.0,RUS,RU,EU,Polar
5524,2000,Russian Federation (the),2552.0,RUS,RU,EU,Polar
5526,2000,Russian Federation (the),47207.0,RUS,RU,EU,Polar
5528,2000,Russian Federation (the),79.0,RUS,RU,EU,Polar
5537,2000,Russian Federation (the),8297.0,RUS,RU,EU,Polar
5626,2001,Russian Federation (the),153.0,RUS,RU,EU,Polar
6124,2001,Russian Federation (the),26322.0,RUS,RU,EU,Polar
6126,2001,Russian Federation (the),50501.0,RUS,RU,EU,Polar
6127,2001,Russian Federation (the),368809.0,RUS,RU,EU,Polar
6128,2001,Russian Federation (the),26016.0,RUS,RU,EU,Polar
6209,2002,Russian Federation (the),677895.0,RUS,RU,EU,Polar
6274,2002,Russian Federation (the),97873.0,RUS,RU,EU,Polar
6275,2002,Russian Federation (the),48206.0,RUS,RU,EU,Polar
6283,2002,Russian Federation (the),4519.0,RUS,RU,EU,Polar
6873,2004,Russian Federation (the),7118.0,RUS,RU,EU,Polar
6932,2004,Russian Federation (the),2578.0,RUS,RU,EU,Polar
6933,2004,Russian Federation (the),71729.0,RUS,RU,EU,Polar
6934,2004,Russian Federation (the),8608.0,RUS,RU,EU,Polar
7006,2005,Norway,180377.0,NOR,NO,EU,Polar
7016,2005,Sweden,3885036.0,SWE,SE,EU,Polar
7396,2005,Russian Federation (the),29371.0,RUS,RU,EU,Polar
7429,2005,Russian Federation (the),3469.0,RUS,RU,EU,Polar
7458,2005,Russian Federation (the),1387513.0,RUS,RU,EU,Polar
7575,2006,Russian Federation (the),168019.0,RUS,RU,EU,Polar
7666,2006,Russian Federation (the),9962.0,RUS,RU,EU,Polar
8221,2007,Russian Federation (the),33655.0,RUS,RU,EU,Polar
8952,2010,Russian Federation (the),1739729.0,RUS,RU,EU,Polar
8982,2010,Russian Federation (the),2236795.0,RUS,RU,EU,Polar
9058,2010,Russian Federation (the),82016.0,RUS,RU,EU,Polar
9061,2010,Russian Federation (the),497066.0,RUS,RU,EU,Polar
9171,2011,Russian Federation (the),3614.0,RUS,RU,EU,Polar
9172,2011,Russian Federation (the),25315.0,RUS,RU,EU,Polar
9739,2012,Russian Federation (the),708128.0,RUS,RU,EU,Polar
9740,2012,Russian Federation (the),20064.0,RUS,RU,EU,Polar
9746,2012,Russian Federation (the),1345443.0,RUS,RU,EU,Polar
9874,2013,Russian Federation (the),1163174.0,RUS,RU,EU,Polar
10416,2014,Russian Federation (the),9157.0,RUS,RU,EU,Polar
10576,2015,Russian Federation (the),156419.0,RUS,RU,EU,Polar
10594,2016,Russian Federation (the),11290.0,RUS,RU,EU,Polar
10660,2016,Russian Federation (the),2258.0,RUS,RU,EU,Polar
11202,2017,Russian Federation (the),2211.0,RUS,RU,EU,Polar
11318,2018,Russian Federation (the),10791.0,RUS,RU,EU,Polar
11489,2019,Russian Federation (the),487551.0,RUS,RU,EU,Polar
11618,2018,Sweden,110068.0,SWE,SE,EU,Polar
12180,2020,Norway,136107.0,NOR,NO,EU,Polar
12429,2019,Russian Federation (the),112349.0,RUS,RU,EU,Polar
12430,2019,Russian Federation (the),19078.0,RUS,RU,EU,Polar
12431,2019,Russian Federation (the),8479.0,RUS,RU,EU,Polar
12674,2021,Russian Federation (the),200000.0,RUS,RU,EU,Polar
12681,2021,Sweden,70000.0,SWE,SE,EU,Polar
