,Year,Country,Losses,ISO,Alpha_2,Continent,Zone
60,1931,China,24889233.0,CHN,CN,AS,Subtropical
217,1961,Bangladesh,107874.0,BGD,BD,AS,Subtropical
237,1963,Bangladesh,442400.0,BGD,BD,AS,Subtropical
240,1963,Bahamas (the),13272.0,BHS,BS,NA,Subtropical
250,1964,Bangladesh,2184.0,BGD,BD,AS,Subtropical
251,1964,Bangladesh,43681.0,BGD,BD,AS,Subtropical
268,1965,Bangladesh,496216.0,BGD,BD,AS,Subtropical
272,1965,Bahamas (the),6020.0,BHS,BS,NA,Subtropical
280,1965,Chile,85999.0,CHL,CL,SA,Subtropical
282,1965,China,233213.0,CHN,CN,AS,Subtropical
293,1966,Argentina,250447.0,ARG,AR,SA,Subtropical
297,1966,Bangladesh,187000.0,BGD,BD,AS,Subtropical
298,1966,Bangladesh,8348.0,BGD,BD,AS,Subtropical
299,1966,Bahamas (the),129398.0,BHS,BS,NA,Subtropical
311,1966,Algeria,83482.0,DZA,DZ,AF,Subtropical
322,1967,Argentina,24369.0,ARG,AR,SA,Subtropical
323,1967,Australia,556425.0,AUS,AU,OC,Subtropical
324,1967,Australia,4873798.0,AUS,AU,OC,Subtropical
335,1967,Algeria,24369.0,DZA,DZ,AF,Subtropical
344,1968,Australia,7790.0,AUS,AU,OC,Subtropical
345,1968,Bangladesh,11685.0,BGD,BD,AS,Subtropical
346,1968,Bangladesh,1553369.0,BGD,BD,AS,Subtropical
351,1968,Chile,428462.0,CHL,CL,SA,Subtropical
369,1969,Afghanistan,1477.0,AFG,AF,AS,Subtropical
375,1969,Bangladesh,61524.0,BGD,BD,AS,Subtropical
380,1969,Cyprus,739.0,CYP,CY,AS,Subtropical
381,1969,Algeria,73867.0,DZA,DZ,AF,Subtropical
391,1970,Argentina,174481.0,ARG,AR,SA,Subtropical
392,1970,Australia,505822.0,AUS,AU,OC,Subtropical
394,1970,Bangladesh,603008.0,BGD,BD,AS,Subtropical
396,1970,Bangladesh,174481.0,BGD,BD,AS,Subtropical
423,1971,Australia,133840.0,AUS,AU,OC,Subtropical
424,1971,Australia,797812.0,AUS,AU,OC,Subtropical
430,1971,Chile,16730.0,CHL,CL,SA,Subtropical
467,1973,Australia,433307.0,AUS,AU,OC,Subtropical
479,1973,Algeria,61029.0,DZA,DZ,AF,Subtropical
495,1974,Australia,4396331.0,AUS,AU,OC,Subtropical
496,1974,Australia,1630583.0,AUS,AU,OC,Subtropical
498,1974,Australia,32819.0,AUS,AU,OC,Subtropical
502,1974,Bangladesh,3182944.0,BGD,BD,AS,Subtropical
510,1974,Chile,54954.0,CHL,CL,SA,Subtropical
515,1974,Algeria,164862.0,DZA,DZ,AF,Subtropical
544,1976,Australia,181052.0,AUS,AU,OC,Subtropical
550,1976,Bangladesh,957.0,BGD,BD,AS,Subtropical
580,1977,Australia,9693.0,AUS,AU,OC,Subtropical
584,1977,Bangladesh,223542.0,BGD,BD,AS,Subtropical
597,1977,Chile,30402.0,CHL,CL,SA,Subtropical
604,1977,Greece,125183.0,GRC,GR,EU,Subtropical
615,1978,Afghanistan,216000.0,AFG,AF,AS,Subtropical
618,1978,Australia,4153853.0,AUS,AU,OC,Subtropical
642,1900,United States of America (the),974947.0,USA,US,NA,Subtropical
663,1911,Taiwan (Province of China),580325.0,TWN,TW,AS,Subtropical
665,1912,Japan,560314.0,JPN,JP,AS,Subtropical
667,1913,United States of America (the),5471082.0,USA,US,NA,Subtropical
669,1915,United States of America (the),1603531.0,USA,US,NA,Subtropical
671,1917,Japan,1055137.0,JPN,JP,AS,Subtropical
673,1918,United States of America (the),1797468.0,USA,US,NA,Subtropical
674,1919,United States of America (the),389854.0,USA,US,NA,Subtropical
680,1923,Japan,158683.0,JPN,JP,AS,Subtropical
685,1925,United States of America (the),277499.0,USA,US,NA,Subtropical
690,1926,United States of America (the),1114836.0,USA,US,NA,Subtropical
691,1927,United States of America (the),342414.0,USA,US,NA,Subtropical
697,1928,United States of America (the),393632.0,USA,US,NA,Subtropical
708,1934,Japan,1010517.0,JPN,JP,AS,Subtropical
713,1935,United States of America (the),118319.0,USA,US,NA,Subtropical
718,1936,United States of America (the),409150.0,USA,US,NA,Subtropical
726,1938,United States of America (the),5877339.0,USA,US,NA,Subtropical
742,1944,United States of America (the),1535833.0,USA,US,NA,Subtropical
744,1945,Japan,6007066.0,JPN,JP,AS,Subtropical
749,1947,United States of America (the),1210813.0,USA,US,NA,Subtropical
750,1947,United States of America (the),363244.0,USA,US,NA,Subtropical
782,1951,United States of America (the),1041610.0,USA,US,NA,Subtropical
801,1953,United States of America (the),525469.0,USA,US,NA,Subtropical
803,1954,Iraq,503380.0,IRQ,IQ,AS,Subtropical
814,1954,United States of America (the),4530422.0,USA,US,NA,Subtropical
815,1954,United States of America (the),2828997.0,USA,US,NA,Subtropical
823,1955,Mexico,404810.0,MEX,MX,NA,Subtropical
828,1955,United States of America (the),8420046.0,USA,US,NA,Subtropical
852,1957,United States of America (the),1446887.0,USA,US,NA,Subtropical
859,1958,United States of America (the),4882618.0,USA,US,NA,Subtropical
860,1959,Japan,5577419.0,JPN,JP,AS,Subtropical
866,1959,Mexico,185914.0,MEX,MX,NA,Subtropical
873,1959,Taiwan (Province of China),464785.0,TWN,TW,AS,Subtropical
894,1960,United States of America (the),3545740.0,USA,US,NA,Subtropical
908,1961,United States of America (the),3698544.0,USA,US,NA,Subtropical
950,1964,Korea (the Republic of),8736.0,KOR,KR,AS,Subtropical
954,1964,Pakistan,35819.0,PAK,PK,AS,Subtropical
955,1964,Pakistan,4368.0,PAK,PK,AS,Subtropical
961,1964,Tunisia,26209.0,TUN,TN,AF,Subtropical
963,1964,Turkey,19220.0,TUR,TR,AS,Subtropical
967,1964,United States of America (the),2184066.0,USA,US,NA,Subtropical
970,1965,Jordan,8600.0,JOR,JO,AS,Subtropical
975,1965,Japan,773994.0,JPN,JP,AS,Subtropical
977,1965,Korea (the Republic of),313898.0,KOR,KR,AS,Subtropical
978,1965,Morocco,43000.0,MAR,MA,AF,Subtropical
980,1965,Mexico,68800.0,MEX,MX,NA,Subtropical
991,1965,United States of America (the),1633988.0,USA,US,NA,Subtropical
992,1965,United States of America (the),12211912.0,USA,US,NA,Subtropical
996,1966,Jordan,11688.0,JOR,JO,AS,Subtropical
998,1966,Japan,65951.0,JPN,JP,AS,Subtropical
999,1966,Korea (the Republic of),15862.0,KOR,KR,AS,Subtropical
1003,1966,Mexico,200358.0,MEX,MX,NA,Subtropical
1018,1966,Taiwan (Province of China),144608.0,TWN,TW,AS,Subtropical
1019,1966,United States of America (the),834823.0,USA,US,NA,Subtropical
1023,1967,Iraq,40615.0,IRQ,IQ,AS,Subtropical
1026,1967,Japan,162460.0,JPN,JP,AS,Subtropical
1031,1967,Mexico,1494631.0,MEX,MX,NA,Subtropical
1033,1967,Mexico,4061.0,MEX,MX,NA,Subtropical
1042,1967,Pakistan,22744.0,PAK,PK,AS,Subtropical
1045,1967,Portugal,24369.0,PRT,PT,EU,Subtropical
1047,1967,Syrian Arab Republic,40615.0,SYR,SY,AS,Subtropical
1051,1967,Uruguay,316797.0,URY,UY,SA,Subtropical
1052,1967,United States of America (the),1624599.0,USA,US,NA,Subtropical
1057,1968,Iraq,23371.0,IRQ,IQ,AS,Subtropical
1064,1968,Korea (the Republic of),23371.0,KOR,KR,AS,Subtropical
1066,1968,Lesotho,7790.0,LSO,LS,AF,Subtropical
1074,1968,Nepal,2337.0,NPL,NP,AS,Subtropical
1088,1969,Iraq,14773.0,IRQ,IQ,AS,Subtropical
1091,1969,Korea (the Republic of),165463.0,KOR,KR,AS,Subtropical
1104,1969,Tunisia,738672.0,TUN,TN,AF,Subtropical
1105,1969,Taiwan (Province of China),650032.0,TWN,TW,AS,Subtropical
1107,1969,United States of America (the),10489149.0,USA,US,NA,Subtropical
1115,1970,Korea (the Republic of),35594.0,KOR,KR,AS,Subtropical
1117,1970,Morocco,209378.0,MAR,MA,AF,Subtropical
1138,1970,United States of America (the),1025951.0,USA,US,NA,Subtropical
1139,1970,United States of America (the),3140666.0,USA,US,NA,Subtropical
1140,1970,United States of America (the),697926.0,USA,US,NA,Subtropical
1149,1971,Morocco,669.0,MAR,MA,AF,Subtropical
1168,1972,Korea (the Republic of),471740.0,KOR,KR,AS,Subtropical
1169,1972,Korea (the Republic of),4108.0,KOR,KR,AS,Subtropical
