,Year,Country,Losses,ISO,Alpha_2,Continent,Zone
17,1912,Canada,140079.0,CAN,CA,NA,Temperate
28,1920,Germany Fed Rep,269919.0,DEU,DE,EU,Temperate
30,1922,Canada,129218.0,CAN,CA,NA,Temperate
35,1925,Germany Fed Rep,292916.0,DEU,DE,EU,Temperate
41,1926,Germany Fed Rep,473423.0,DEU,DE,EU,Temperate
53,1929,Germany Fed Rep,865990.0,DEU,DE,EU,Temperate
102,1946,Canada,6932.0,CAN,CA,NA,Temperate
122,1950,Canada,1123728.0,CAN,CA,NA,Temperate
129,1951,Switzerland,208322.0,CHE,CH,EU,Temperate
140,1953,Germany Fed Rep,252629.0,DEU,DE,EU,Temperate
149,1954,Canada,1006760.0,CAN,CA,NA,Temperate
230,1962,Germany Fed Rep,5374604.0,DEU,DE,EU,Temperate
231,1962,Spain,716614.0,ESP,ES,EU,Temperate
337,1967,France,162460.0,FRA,FR,EU,Temperate
355,1968,Germany Fed Rep,241497.0,DEU,DE,EU,Temperate
358,1968,United Kingdom of Great Britain and Northern Ireland (the),19476.0,GBR,GB,EU,Temperate
419,1970,Hungary,593237.0,HUN,HU,EU,Temperate
437,1971,Spain,669198.0,ESP,ES,EU,Temperate
438,1971,Spain,368059.0,ESP,ES,EU,Temperate
452,1972,Germany Fed Rep,2721576.0,DEU,DE,EU,Temperate
453,1972,Spain,129599.0,ESP,ES,EU,Temperate
482,1973,Spain,2441169.0,ESP,ES,EU,Temperate
509,1974,Canada,79684.0,CAN,CA,NA,Temperate
514,1974,Germany Fed Rep,120899.0,DEU,DE,EU,Temperate
530,1975,Canada,12588.0,CAN,CA,NA,Temperate
556,1976,Germany Fed Rep,6189966.0,DEU,DE,EU,Temperate
594,1977,Canada,13412498.0,CAN,CA,NA,Temperate
603,1977,United Kingdom of Great Britain and Northern Ireland (the),4471.0,GBR,GB,EU,Temperate
628,1978,Germany Fed Rep,1370771.0,DEU,DE,EU,Temperate
630,1978,Spain,103846.0,ESP,ES,EU,Temperate
770,1951,Italy,3124830.0,ITA,IT,EU,Temperate
789,1953,Netherlands (the),3031551.0,NLD,NL,EU,Temperate
995,1966,Italy,16696460.0,ITA,IT,EU,Temperate
1005,1966,Mongolia,208706.0,MNG,MN,AS,Temperate
1113,1970,Italy,1872535.0,ITA,IT,EU,Temperate
1114,1970,Italy,22334.0,ITA,IT,EU,Temperate
1137,1970,Romania,3489629.0,ROU,RO,EU,Temperate
1190,1973,Italy,2197052.0,ITA,IT,EU,Temperate
1192,1973,Italy,732351.0,ITA,IT,EU,Temperate
1258,1975,Romania,251753.0,ROU,RO,EU,Temperate
1289,1977,Italy,196717.0,ITA,IT,EU,Temperate
1290,1977,Italy,670625.0,ITA,IT,EU,Temperate
1338,1978,Italy,4154.0,ITA,IT,EU,Temperate
1510,1979,Canada,70939.0,CAN,CA,NA,Temperate
1514,1979,Germany Fed Rep,298692.0,DEU,DE,EU,Temperate
1558,1980,Spain,4932201.0,ESP,ES,EU,Temperate
1566,1981,Canada,235431.0,CAN,CA,NA,Temperate
1594,1981,Denmark,745036.0,DNK,DK,EU,Temperate
1598,1981,Spain,4351011.0,ESP,ES,EU,Temperate
1618,1982,Switzerland,2808.0,CHE,CH,EU,Temperate
1633,1982,Spain,1769025.0,ESP,ES,EU,Temperate
1634,1982,Spain,842393.0,ESP,ES,EU,Temperate
1638,1982,France,982792.0,FRA,FR,EU,Temperate
1668,1983,Canada,157794.0,CAN,CA,NA,Temperate
1670,1983,Switzerland,2721.0,CHE,CH,EU,Temperate
1690,1983,Spain,10610259.0,ESP,ES,EU,Temperate
1697,1983,France,1643230.0,FRA,FR,EU,Temperate
1701,1983,France,14963.0,FRA,FR,EU,Temperate
